第一卦 乾卦
第二卦 坤卦
第三卦 屯卦
第四卦 蒙卦
第五卦 需卦
第六卦 讼卦
第七卦 师卦
第八卦 比卦
第九卦 小畜卦
第十卦 履卦
第十一卦 泰卦
第十二卦 否卦
第十三卦 同人
第十四卦 大有
第十五卦 谦卦
第十六卦 豫卦
第十七卦 随卦
第十八卦 蛊卦
第十九卦 临卦
第二十卦 观卦
第二十一卦 噬嗑卦
第二十二卦 贲卦
第二十三卦 剥卦
第二十四卦 复卦
第二十五卦 无妄卦
第二十六卦 大畜卦
第二十七卦 颐卦
第二十八卦 大过卦
第二十九卦 坎卦
第三十卦 离卦
第三十一卦 咸卦
第三十二卦 恒卦
第三十三卦 唏卦
第三十四卦 大壮卦
第三十五卦 晋卦
第三十六卦 明夷卦
第三十七卦 家人卦
第三十八卦 睽卦
第三十九卦 蹇卦
第四十卦 解卦
第四十一卦 损卦
第四十二卦 益卦
第四十三卦 夬卦
第四十四卦 姤卦
第四十五卦 萃卦
第四十六卦 升卦
第四十七卦 困卦
第四十八卦 井卦
第四十九卦 革卦
第五十卦 鼎卦
第五十一卦 震卦
第五十二卦 艮卦
第五十三卦 渐卦
第五十四卦 归妹卦
第五十五卦 丰卦
第五十六卦 旅卦
第五十七卦 巽卦
第五十八卦 兑卦
第五十九卦 涣卦
第六十卦 节卦
第六十一卦 中孚卦
第六十二卦 小过卦
第六十三卦 既济卦
第六十四卦 未济卦
